946 [0.0294859, 1008]
948 [0.0301559, 1020]
949 [0.032434, 1080]
950 [0.0382991, 1098]
951 [0.03865, 1107]
954 [0.039463, 1130]
955 [0.0465689, 1226]
956 [0.046818, 1236]
957 [0.0469711, 1242]
959 [0.0471539, 1251]
960 [0.048317, 1297]
961 [0.0562909, 1328]
962 [0.056865, 1352]
963 [0.0584829, 1417]
964 [0.0590339, 1445]
965 [0.059936, 1488]
966 [0.0648389, 1585]
968 [0.077837, 1823]
969 [0.079263, 1904]
970 [0.0959499, 2272]
971 [0.115354, 2795]
972 [0.119117, 3038]
973 [0.124078, 3190]
974 [0.126034, 3339]
975 [0.126858, 3404]
976 [0.12983, 3629]
977 [0.135014, 3699]
978 [0.145654, 4108]
979 [0.197292, 6971]
980 [0.207066, 7710]
981 [0.230676, 8397]
982 [0.270001, 10320]
983 [0.374716, 16221]
984 [0.596326, 30329]
985 [0.6297, 32801]
986 [0.633508, 32883]
987 [0.721224, 40367]
988 [0.825553, 50507]
989 [1.24638, 91093]
990 [1.7391, 147632]
991 [3.42854, 337608]
992 [9.04809, 950450]
993 [12.0785, 1327167]
MIS_weight 993
MIS_weight_check 993
